machine,timestamp,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required
GJR5,2025-03-07 02:37:00,61.56,21.13,70.82,3.43,1.3,Idle,No,309,Normal,,No
PKS8,2025-02-19 15:34:00,84.59,61.19,75.54,2.33,3.96,Running,No,159,Normal,0.0,No
XEP19,2025-01-16 12:54:00,72.83,20.17,34.65,2.67,3.32,Idle,No,158,Normal,0.0,No
PXA26,2025-01-15 02:47:00,76.7,37.46,66.73,1.17,0.77,Running,No,330,Normal,0.0,No
TVG50,2025-02-06 12:34:00,93.66,56.64,79.73,4.66,1.88,Running,Yes,11,Normal,1.0,Yes
GJH10,2025-02-02 12:21:00,85.17,72.27,51.67,4.84,2.45,Idle,No,77,Normal,,No
JRJ12,2025-01-04 06:56:00,67.42,32.36,38.51,3.89,1.84,Running,No,433,Normal,,No
BBS16,2025-02-01 18:12:00,70.75,56.68,48.96,4.63,0.69,Running,No,347,Normal,0.0,No
ZTG36,2025-02-28 20:10:00,66.41,82.35,76.16,2.04,2.44,Running,Yes,26,Normal,,Yes
OJS11,2025-01-13 10:19:00,75.31,48.81,74.38,1.85,2.07,Running,No,201,Normal,,No
SIQ9,2025-02-05 13:34:00,62.34,60.4,48.95,1.72,4.27,Running,No,357,Normal,0.0,No
IJA31,2025-01-14 21:41:00,95.03,45.59,54.78,3.01,4.21,Running,Yes,11,Normal,,Yes
RHH44,2025-02-03 22:04:00,64.45,42.72,64.57,4.51,3.33,Running,No,144,Normal,0.0,No
GJH10,2025-02-11 18:28:00,64.67,43.62,62.14,4.76,1.83,Running,No,347,Normal,,No
DCB34,2025-02-28 19:33:00,75.37,49.45,48.31,4.6,1.23,Running,No,207,Normal,0.0,No
PXA26,2025-02-28 21:03:00,81.46,45.4,52.89,2.47,3.04,Running,No,395,Normal,0.0,No
CJL17,2025-03-02 07:43:00,100.69,65.22,42.95,1.94,3.1,Running,Yes,38,Normal,,Yes
PXA26,2025-01-23 01:14:00,73.3,42.14,51.74,3.75,1.13,Running,No,74,Normal,0.0,No
QNJ7,2025-03-08 22:44:00,58.25,59.27,58.37,4.79,3.29,Running,No,324,Normal,0.0,No
PKS8,2025-03-06 12:34:00,80.95,70.12,75.02,4.58,0.62,Running,No,96,Normal,,No
JJF2,2025-01-10 14:38:00,67.24,57.69,79.37,1.04,3.45,Running,No,216,Normal,,No
BJB18,2025-02-18 23:55:00,63.25,65.49,43.31,1.21,3.26,Running,No,59,Normal,,No
DCB34,2025-01-02 23:36:00,76.96,51.88,51.76,4.35,4.45,Running,No,27,Normal,,No
OZU38,2025-03-01 18:38:00,73.32,76.25,73.3,3.05,0.69,Running,No,325,Normal,0.0,No
CJL17,2025-01-16 09:38:00,92.23,36.61,45.24,2.09,1.58,Running,Yes,6,Normal,,Yes
PKS8,2025-02-02 09:00:00,82.03,58.86,34.54,4.31,1.48,Running,No,325,Normal,0.0,No
DVO46,2025-02-19 11:42:00,74.43,36.63,74.65,2.7,1.4,Running,No,190,Normal,0.0,No
EZO29,2025-02-06 09:02:00,61.46,41.89,62.14,1.52,3.14,Running,No,164,Normal,,No
RKL4,2025-02-02 19:17:00,83.96,67.05,68.4,4.96,2.24,Running,No,369,Normal,,No
RFF14,2025-02-11 10:18:00,90.45,58.19,50.44,1.81,0.62,Idle,Yes,48,Normal,,Yes
FPO41,2025-02-25 07:40:00,71.66,54.72,77.83,4.21,3.4,Running,No,39,Normal,,No
ZKP13,2025-01-11 15:23:00,87.17,55.26,45.93,4.38,1.78,Running,No,287,Normal,0.0,No
DHW47,2025-02-27 02:20:00,67.51,36.59,64.26,2.33,0.79,Running,No,317,Normal,,No
YDH6,2025-02-10 02:23:00,81.15,41.5,72.46,3.24,2.02,Running,No,245,Normal,0.0,No
JJF2,2025-02-28 12:21:00,68.87,53.4,50.15,4.44,1.55,Failure,No,184,Normal,,Yes
GUK33,2025-02-21 05:56:00,53.34,28.98,61.48,2.85,0.98,Running,No,144,Normal,0.0,No
MEO40,2025-02-04 16:49:00,71.86,18.14,47.53,4.8,1.14,Running,No,477,Normal,0.0,No
OJS11,2025-01-01 18:09:00,77.04,57.55,62.44,2.61,4.73,,No,397,Normal,0.0,No
SAC1,2025-02-19 04:40:00,72.12,63.7,43.83,4.02,3.24,Running,No,479,Normal,0.0,No
AOE45,2025-03-05 15:48:00,79.85,39.95,47.1,4.84,2.19,Running,No,373,Normal,,No
DCB34,2025-02-22 15:37:00,68.41,29.15,48.26,2.44,0.99,Running,No,327,Normal,0.0,No
DCB34,2025-01-20 07:45:00,77.94,52.32,49.21,3.8,1.26,Running,No,65,Normal,0.0,No
GJR5,2025-01-31 16:29:00,75.38,62.43,76.7,2.64,2.7,Running,No,394,Normal,,No
AOE45,2025-01-09 16:01:00,71.05,47.14,60.99,3.49,2.11,Running,No,409,Normal,0.0,No
ZTG36,2025-01-26 23:32:00,72.16,54.98,62.01,1.98,3.55,Running,No,12,Normal,,Yes
MEO40,2025-01-26 06:39:00,62.49,61.07,61.69,3.33,2.07,Idle,No,31,Normal,0.0,No
QJN15,2025-01-06 12:58:00,73.31,75.96,56.69,1.88,0.95,Running,No,271,Normal,0.0,No
MEO40,2025-03-03 14:34:00,63.62,69.07,77.53,3.72,3.46,Running,No,396,Normal,0.0,No
DHW47,2025-02-24 21:41:00,85.61,62.47,56.82,2.66,1.72,Running,No,345,Normal,,No
FPO41,2025-01-11 16:57:00,61.33,48.52,71.39,2.35,4.44,,No,53,Normal,,No
FPO41,2025-02-12 19:04:00,76.31,45.65,68.72,3.2,0.77,Running,No,274,Normal,,No
DHW47,2025-03-01 22:40:00,90.22,34.21,45.61,1.57,1.5,Running,Yes,12,Normal,1.0,Yes
OLM37,2025-01-07 21:17:00,85.13,64.93,54.38,1.2,3.73,Running,No,193,Normal,0.0,No
ANO21,2025-01-09 18:51:00,62.36,41.58,60.7,3.25,3.97,Running,No,233,Normal,,No
EZO29,2025-02-06 11:15:00,70.44,46.79,58.89,1.96,4.1,Running,No,199,Normal,0.0,No
QNJ7,2025-02-27 11:06:00,66.58,16.48,42.42,4.18,3.28,Running,No,20,Normal,0.0,No
RHH44,2025-02-17 05:27:00,83.4,48.79,39.22,2.82,1.8,Running,No,123,Normal,,No
EZO29,2025-01-02 20:59:00,,34.2,64.45,1.69,3.15,Idle,No,364,Normal,0.0,No
BPQ42,2025-02-27 20:02:00,71.89,43.91,78.84,3.83,0.8,Running,No,22,Normal,,No
ANO21,2025-01-21 13:27:00,62.13,45.42,31.08,3.0,1.68,Running,No,158,Normal,0.0,No
DHW47,2025-01-21 23:55:00,70.44,44.64,71.77,1.15,1.24,Running,No,369,Normal,,No
FKF20,2025-03-02 00:02:00,76.25,43.57,43.33,3.02,2.76,Running,No,298,Normal,0.0,No
JJF2,2025-01-14 00:36:00,87.08,56.16,51.81,2.78,4.13,Running,No,206,Normal,0.0,No
OZU38,2025-01-30 02:21:00,85.59,60.12,49.09,2.35,2.94,Running,No,150,Normal,0.0,No
HJG23,2025-02-06 18:42:00,73.46,43.64,57.84,2.55,1.59,Running,No,347,Normal,0.0,No
IOT24,2025-01-10 15:56:00,73.77,38.91,60.65,2.74,4.81,Running,No,425,Normal,0.0,No
SIQ9,2025-01-13 18:14:00,72.53,34.07,71.53,4.68,0.81,Running,No,304,Normal,,No
ZTG36,2025-01-12 21:06:00,67.15,39.23,76.31,2.51,4.44,Running,No,359,Normal,,No
QJN15,2025-01-14 17:17:00,77.09,51.34,54.14,3.64,1.57,Running,No,249,Normal,0.0,No
BBS16,2025-01-25 15:03:00,82.56,43.54,30.23,2.31,4.44,Running,No,361,Normal,0.0,No
BJB18,2025-03-09 20:10:00,83.15,30.02,63.29,1.36,0.56,Running,No,127,Normal,0.0,No
FPO41,2025-01-26 15:03:00,69.53,63.56,60.88,3.93,1.02,Running,No,397,Normal,,No
PKS8,2025-02-01 06:05:00,80.37,52.67,33.1,4.39,3.38,Running,No,338,Normal,,No
YDH6,2025-01-17 07:11:00,72.23,50.16,54.95,4.99,0.99,Running,No,162,Normal,0.0,No
CJL17,2025-02-12 02:34:00,82.51,59.64,39.09,4.32,3.33,Idle,No,76,Normal,,No
YDH6,2025-01-10 00:25:00,63.85,49.34,59.79,4.33,1.27,Running,No,457,Normal,,No
GJR5,2025-02-08 23:00:00,62.18,55.5,48.59,1.14,2.11,Running,No,410,Normal,0.0,No
DHW47,2025-02-14 10:57:00,69.18,52.67,48.45,3.91,2.65,Running,No,103,Normal,0.0,No
GJR5,2025-02-08 10:41:00,78.42,35.45,71.78,2.61,1.86,Running,No,69,Normal,,No
SAC1,2025-01-24 13:45:00,80.71,58.26,57.75,4.95,3.3,Running,No,27,Normal,,No
EZO29,2025-02-10 22:10:00,63.95,41.01,69.17,4.01,1.54,Running,No,141,Normal,0.0,No
OLM37,2025-02-06 11:57:00,60.08,53.84,31.82,1.04,1.4,Running,No,94,Normal,,No
RFF14,2025-01-03 09:19:00,73.99,62.43,52.27,2.33,2.54,Running,No,18,Normal,,Yes
SJO48,2025-02-21 14:58:00,98.18,50.26,36.19,1.16,1.86,Running,Yes,3,Normal,1.0,Yes
GSR32,2025-02-24 23:14:00,64.17,39.63,55.12,2.33,4.98,Running,No,293,Normal,,No
DCB34,2025-02-10 05:45:00,82.59,48.98,64.52,2.05,2.7,Running,No,414,Normal,0.0,No
GUK33,2025-02-06 20:11:00,70.45,43.58,42.43,3.13,1.25,Running,No,237,Normal,,No
WXX28,2025-02-03 16:29:00,79.59,59.44,53.81,1.55,3.51,Running,No,270,Normal,,No
TVG50,2025-02-17 21:16:00,78.39,49.61,35.9,3.56,0.53,Running,No,430,Normal,0.0,No
HJG23,2025-01-31 15:23:00,83.34,51.41,43.68,1.78,1.37,Running,No,456,Normal,,No
QNJ7,2025-03-02 05:45:00,76.09,47.84,64.98,2.86,2.55,Running,No,317,Normal,,No
FPQ39,2025-03-06 05:56:00,75.47,40.53,57.87,4.31,2.19,Idle,No,90,Normal,0.0,No
KGY27,2025-02-15 09:25:00,62.99,55.14,79.12,2.99,4.88,Running,No,311,Normal,0.0,No
RKL4,2025-02-18 11:32:00,68.94,74.06,36.47,2.89,4.87,Running,No,481,Normal,0.0,No
OLM37,2025-01-18 06:03:00,67.54,46.75,50.82,1.87,1.64,Running,No,260,Normal,0.0,No
ZKP13,2025-01-23 13:19:00,79.89,51.55,31.1,2.71,4.07,Running,No,438,Normal,0.0,No
BBS16,2025-02-06 20:47:00,65.05,56.11,50.19,2.16,2.79,Running,No,17,Normal,0.0,Yes
RHH44,2025-02-11 03:28:00,55.49,27.62,57.68,3.75,3.52,Running,No,206,Normal,0.0,No
GUK33,2025-02-22 18:17:00,65.0,33.48,36.46,2.63,3.67,Failure,No,421,Normal,,Yes
RHH44,2025-03-07 21:55:00,62.55,61.57,37.24,3.81,4.79,Running,No,416,Normal,0.0,No
PKS8,2025-02-20 12:21:00,81.63,46.39,60.2,2.24,1.13,Running,No,181,Normal,,No
GJH10,2025-01-08 09:18:00,93.24,93.97,32.75,3.52,3.75,Failure,Yes,10,Normal,1.0,Yes
HJG23,2025-03-04 19:00:00,68.89,24.84,61.46,2.9,0.56,Running,No,111,Normal,0.0,No
SAC1,2025-03-06 22:39:00,87.1,,34.31,4.14,3.55,Running,No,209,Normal,,No
